"ID","Title","Purpose","Inputs","Outputs","Assumptions","Applicability","Sequence","Warnings","Validation"
"A-01","温变物性查询与插值","True","True","True","True","False","True","True","True"
"A-02","水物性","False","False","False","False","False","False","False","False"
"B-01","几何规范化","True","True","True","False","False","False","True","True"
"B-02","轴向填充系数","True","True","True","False","False","False","True","False"
"B-03","理想长螺线管","True","False","True","True","False","False","False","True"
"B-04","Nagaoka/Lundin 有限长电流片（推荐科学基线）","True","True","True","True","True","True","True","False"
"B-05","Wheeler 1928 单层快速式","True","False","False","False","True","False","True","False"
"B-06","Wheeler 多层式","False","False","False","False","False","False","False","False"
"B-07","离散同轴圆环求和","True","False","False","False","False","False","False","False"
"B-08","Simpson 数值积分","False","False","False","False","False","False","False","False"
"C-01","方法比较","False","True","True","False","True","False","False","True"
"D-01","导体中心线长度","True","True","True","False","False","False","True","False"
"D-02","金属截面积","False","False","True","False","False","False","False","False"
"D-03","DC 电阻","False","True","True","True","False","False","True","True"
"D-04","铜导体趋肤深度","False","True","True","False","True","False","False","False"
"D-05","AC 电阻分级","False","True","False","False","False","False","False","True"
"D-06","电流密度与损耗","False","False","True","False","True","False","False","False"
"D-07","线圈串联端口参数","False","False","False","False","False","False","False","True"
"E-01","工件参考透入深度","True","True","True","True","True","False","False","False"
"E-02","Curie 与温度扫描","True","False","True","False","False","False","True","True"
"E-03","参考临界频率与穿透比","True","False","False","False","True","False","False","False"
"F-01","理想变压器反射阻抗","True","True","False","True","False","False","True","False"
"F-02","端口阻抗测量辨识（推荐默认）","True","True","True","False","False","False","True","True"
"F-03","成熟软件黑箱标定","True","True","True","False","False","False","False","True"
"G-01","批次工件有用热量","True","True","True","True","False","False","True","False"
"G-02","连续工艺有用功率","False","True","True","False","False","False","False","False"
"G-03","加热时间/瞬态温度","False","False","False","False","False","False","False","False"
"G-04","功率边界与效率","False","True","False","False","False","False","False","False"
"G-05","需要的输入功率","False","True","False","False","False","False","False","False"
"G-06","视在功率与功率因数","False","False","False","False","True","False","False","False"
"G-07","串联谐振","False","False","False","False","False","False","False","False"
"G-08","并联谐振","False","False","False","False","False","False","False","False"
"G-09","LLC/多谐振拓扑","False","False","False","True","False","False","False","False"
"G-10","匹配变压器","False","False","False","False","False","False","False","False"
"H-01","冷却热负荷","False","False","False","False","False","False","False","False"
"H-02","基础质量/体积流量","True","True","True","True","False","False","True","False"
"H-03","支路、水力面积与速度","False","False","True","False","False","False","False","False"
"H-04","Reynolds 与内部换热","False","True","True","False","False","False","True","True"
"H-05","压降与并联管网","False","True","True","False","True","False","False","False"
"H-06","沸腾、结垢、腐蚀和空化警告","False","False","False","False","False","False","True","False"
"H-07","项目能量守恒验证","False","False","False","False","False","False","False","True"
"J-01","圆筒径向导热","False","False","False","False","False","False","False","False"
"J-02","外表面对流","False","True","False","False","True","False","False","False"
"J-03","辐射","False","False","False","False","False","False","False","False"
"J-04","线性化表面换热系数","False","False","False","False","False","False","False","False"
"J-05","线圈—保温层同心环隙","True","False","False","False","False","False","True","False"
"J-06","总稳态热损","False","False","False","False","False","False","False","False"
"J-07","瞬态热损","False","False","False","False","False","False","False","False"
"I-01","目标外表面温度法","True","True","False","False","False","False","True","True"
"I-02","目标允许热损法","True","True","False","False","False","True","False","True"
"I-03","双重约束","False","False","False","False","False","False","False","False"
"I-04","平壁近似与临界绝热半径","False","True","True","False","True","False","True","True"
